,Title,Date,Price,Owners,Playtime,Playtime(average),Publisher
0, Tetris Effect: Connected,17-Aug-21,$39.99 ,"100,000?..?200,000",00:00 (00:00),0:00,Enhance
1, Chicory: A Colorful Tale,10-Jun-21,$19.99 ,"20,000?..?50,000",00:00 (00:00),0:00,Finji
2, OPUS: Echo of Starsong - Full Bloom Edition,31-Aug-21,$24.99 ,"100,000?..?200,000",00:00 (00:00),0:00,SIGONO INC.
3, Psychonauts 2,24-Aug-21,$59.99 ,"100,000?..?200,000",00:00 (00:00),0:00,Xbox Game Studios
4, It Takes Two,25-Mar-21,$39.99 ,"2,000,000?..?5,000,000",03:58 (02:29),3:58,Electronic Arts
5, Ragnarock,15-Jul-21,$24.99 ,"50,000?..?100,000",00:28 (00:16),0:28,WanadevStudio
6, Mini Motorways,20-Jul-21,$9.99 ,"500,000?..?1,000,000",04:02 (03:51),4:02,Dinosaur Polo Club
7, DEATHLOOP,13-Sep-21,$59.99 ,"500,000?..?1,000,000",02:20 (01:33),2:20,Bethesda Softworks
8, Blind Drive,10-Mar-21,$9.99 ,"0?..?20,000",00:00 (00:00),0:00,Lo-Fi People
9, The Last Friend,30-Sep-21,$14.99 ,"0?..?20,000",00:00 (00:00),0:00,Skystone Games Inc.
